id	Kingdom	Phylum	Class	Order	Family	Genus	Species
seq163	seq163	Eukaryota	NA	NA	NA	NA	NA	NA
seq164	seq164	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	NA
seq165	seq165	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	stercoris
seq166	seq166	Eukaryota	NA	NA	NA	NA	NA	NA
seq167	seq167	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	NA
seq168	seq168	Eukaryota	NA	NA	NA	NA	NA	NA
seq169	seq169	Eukaryota	NA	NA	NA	NA	NA	NA
seq170	seq170	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	distasonis
seq171	seq171	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus_2	NA
seq172	seq172	Eukaryota	NA	NA	NA	NA	NA	NA
seq173	seq173	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella	NA
seq174	seq174	Eukaryota	NA	NA	NA	NA	NA	NA
seq175	seq175	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium_5	NA
seq176	seq176	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae_R-7_group	NA
seq177	seq177	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	NA
seq178	seq178	Eukaryota	NA	NA	NA	NA	NA	NA
seq179	seq179	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7	NA
seq180	seq180	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
seq181	seq181	Eukaryota	NA	NA	NA	NA	NA	NA
seq182	seq182	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	NA
seq183	seq183	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
seq184	seq184	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	NA
seq185	seq185	Eukaryota	NA	NA	NA	NA	NA	NA
seq186	seq186	Eukaryota	NA	NA	NA	NA	NA	NA
seq187	seq187	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Butyricicoccus	NA
seq188	seq188	Eukaryota	NA	NA	NA	NA	NA	NA
seq189	seq189	Eukaryota	NA	NA	NA	NA	NA	NA
seq190	seq190	Eukaryota	NA	NA	NA	NA	NA	NA
seq191	seq191	Eukaryota	NA	NA	NA	NA	NA	NA
seq192	seq192	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	NA
seq193	seq193	Eukaryota	NA	NA	NA	NA	NA	NA
seq194	seq194	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	hominis
seq195	seq195	Eukaryota	NA	NA	NA	NA	NA	NA
seq196	seq196	Eukaryota	NA	NA	NA	NA	NA	NA
seq197	seq197	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	mucilaginosa
seq198	seq198	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-004	NA
seq199	seq199	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA
seq200	seq200	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	NA
seq201	seq201	Eukaryota	NA	NA	NA	NA	NA	NA
seq202	seq202	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	NA
seq203	seq203	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	NA
seq204	seq204	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	aerofaciens
seq205	seq205	Eukaryota	NA	NA	NA	NA	NA	NA
seq206	seq206	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Odoribacter	splanchnicus
seq207	seq207	Eukaryota	NA	NA	NA	NA	NA	NA
seq208	seq208	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA
seq209	seq209	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	NA
seq210	seq210	Eukaryota	NA	NA	NA	NA	NA	NA
seq211	seq211	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	NA
seq212	seq212	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus_1	NA
seq213	seq213	Eukaryota	NA	NA	NA	NA	NA	NA
seq214	seq214	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	NA
seq215	seq215	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
seq216	seq216	Eukaryota	NA	NA	NA	NA	NA	NA
seq217	seq217	Eukaryota	NA	NA	NA	NA	NA	NA
seq218	seq218	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	finegoldii
seq219	seq219	Eukaryota	NA	NA	NA	NA	NA	NA
seq220	seq220	Eukaryota	NA	NA	NA	NA	NA	NA
seq221	seq221	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	uniformis
seq222	seq222	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	NA
seq223	seq223	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	NA
seq224	seq224	Eukaryota	NA	NA	NA	NA	NA	NA
seq225	seq225	Eukaryota	NA	NA	NA	NA	NA	NA
seq226	seq226	Eukaryota	NA	NA	NA	NA	NA	NA
seq227	seq227	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA
seq228	seq228	Eukaryota	NA	NA	NA	NA	NA	NA
seq229	seq229	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	NA
seq230	seq230	Eukaryota	NA	NA	NA	NA	NA	NA
seq231	seq231	Eukaryota	NA	NA	NA	NA	NA	NA
seq232	seq232	Eukaryota	NA	NA	NA	NA	NA	NA
seq233	seq233	Eukaryota	NA	NA	NA	NA	NA	NA
seq234	seq234	Eukaryota	NA	NA	NA	NA	NA	NA
seq235	seq235	Eukaryota	NA	NA	NA	NA	NA	NA
seq236	seq236	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	NA
